,open,high,low,close,volume
2019-02-28,324.1499,326.8498,316.0498,317.9499,232000
2019-03-01,320.4999,320.4999,302.5998,307.0499,1281122
2019-03-05,307.9999,309.4999,303.9999,308.0499,1902114
2019-03-06,313.7999,313.7999,307.8499,309.3499,314830
2019-03-07,309.4999,312.2999,307.7499,308.7499,392711
2019-03-08,309.4999,312.3499,307.5999,308.7499,349127
2019-03-11,308.9999,336.5999,307.9999,333.6999,650588
2019-03-12,332.9999,353.9998,329.0999,350.7999,1881057
2019-03-13,348.9999,356.3998,335.3999,337.3499,742263
2019-03-14,338.4499,345.9999,334.9499,342.8499,376981
2019-03-15,344.4499,344.4499,331.4999,336.9999,443209
2019-03-18,337.0499,343.4999,329.3499,330.6499,288138
2019-03-19,332.8999,338.9999,332.8999,336.6499,270031
2019-03-20,336.6499,339.3498,332.0999,333.7499,202037
2019-03-22,335.9998,347.1999,329.4998,331.1499,460775
2019-03-25,332.0499,334.7998,323.4998,327.1999,217715
2019-03-26,327.9999,331.0999,326.4999,328.1999,254542
2019-03-27,329.9998,333.1499,321.0499,323.2999,229608
2019-03-28,322.9999,333.1499,318.2499,330.4498,195137
2019-03-29,331.5999,335.9998,328.9499,332.8999,147086
2019-04-01,331.9999,344.8998,331.9999,340.2499,406606
2019-04-02,341.9998,359.9998,341.9998,357.5499,715944
2019-04-03,356.3998,363.1498,347.8499,349.8998,1401796
2019-04-04,352.9999,359.1999,352.5999,356.5999,331337
2019-04-05,357.2999,359.4998,353.8999,356.5999,141170
2019-04-08,359.8999,363.9499,352.0499,354.2999,1182806
2019-04-09,358.5998,361.1499,341.5999,351.5998,374818
2019-04-10,350.9999,354.3499,336.2999,340.0498,183173
2019-04-11,340.9999,350.9999,337.2999,347.4998,1994698
2019-04-12,345.9999,350.3998,339.0998,341.5499,332237
2019-04-15,346.4499,348.4998,334.6499,347.4499,375434
2019-04-16,346.9999,350.9999,340.5999,348.6499,1427662
2019-04-18,350.9499,350.9499,332.9999,346.7499,718225
2019-04-22,344.7999,357.9499,336.6998,349.8499,696832
2019-04-23,325.1,325.1,314.55,316.2,483361
2019-04-24,318.4,326.25,315.75,324.5,303196
2019-04-25,322.0,331.75,321.25,327.95,199310
2019-04-26,329.05,335.55,322.5,324.6,218495
2019-04-30,324.0,326.55,314.25,320.2,206857
2019-05-02,321.9,329.4,321.9,324.7,223325
2019-05-03,324.7,334.9,324.4,331.1,315014
2019-05-06,331.7,336.0,326.6,333.4,481134
2019-05-07,340.0,340.4,321.0,324.35,583221
2019-05-08,324.5,327.05,320.3,323.75,156642
2019-05-09,322.5,326.0,312.95,315.7,228538
2019-05-10,319.45,328.1,315.2,324.15,364956
2019-05-13,321.0,327.3,314.05,318.55,262827
2019-05-14,317.35,339.5,315.3,335.75,476567
2019-05-15,335.75,337.7,328.55,331.0,313195
2019-05-16,331.0,333.15,321.55,325.45,155409
2019-05-17,324.35,330.6,322.2,328.2,172218
2019-05-20,330.95,341.55,330.95,339.85,285115
2019-05-21,340.85,340.85,328.8,330.8,168126
2019-05-22,331.0,337.65,328.8,335.05,224768
2019-05-23,337.15,349.0,334.35,338.4,265591
2019-05-24,339.9,356.0,339.9,353.3,316915
2019-05-27,347.6,351.9,346.5,350.0,99166
2019-05-28,349.0,351.15,342.1,345.65,195109
2019-05-29,344.4,345.1,337.85,338.7,149189
2019-05-30,340.0,349.95,340.0,346.6,262326
2019-05-31,349.0,352.15,344.85,348.5,275070
2019-06-03,350.5,355.65,349.1,353.05,210777
2019-06-04,352.0,355.75,350.05,353.45,207287
2019-06-06,353.0,356.0,348.7,353.8,241785
2019-06-07,352.95,362.05,352.0,356.75,205585
2019-06-10,355.0,364.0,354.05,362.45,136805
2019-06-11,361.85,366.2,358.05,363.1,125968
2019-06-12,363.5,363.5,357.2,359.8,88378
2019-06-13,360.0,364.95,356.5,363.25,176259
2019-06-14,364.9,364.9,351.6,353.3,190257
2019-06-17,355.55,355.55,342.1,343.5,244367
2019-06-18,345.1,347.55,341.35,345.65,98305
2019-06-19,351.0,351.0,334.8,341.75,176604
2019-06-20,342.0,350.05,340.0,348.65,82527
2019-06-21,350.0,350.0,342.85,344.25,140316
2019-06-24,352.8,352.8,343.6,344.8,69992
2019-06-25,344.8,351.75,344.55,348.45,267503
2019-06-26,348.1,352.0,342.8,345.35,1731367
2019-06-27,345.5,350.65,340.8,348.0,270885
2019-06-28,344.0,350.05,342.95,346.7,123464
2019-07-01,343.05,349.55,343.05,348.5,559188
2019-07-02,348.0,354.35,347.65,353.4,325798
2019-07-03,355.0,356.4,349.8,353.4,190307
2019-07-04,355.8,364.95,353.15,362.6,1100227
2019-07-05,360.05,371.0,360.05,364.85,244310
2019-07-08,370.0,370.0,354.75,356.55,330152
2019-07-09,357.0,363.2,354.8,362.2,92961
2019-07-10,357.05,364.55,353.75,358.35,276976
2019-07-11,364.9,364.9,356.35,360.75,138096
2019-07-12,361.0,361.0,354.25,355.95,97609
2019-07-15,356.0,359.3,349.3,350.7,220485
2019-07-16,352.95,354.95,349.8,350.85,124734
2019-07-17,350.0,353.2,344.6,345.9,285413
2019-07-18,350.0,351.0,338.55,342.3,129618
2019-07-19,346.9,346.9,336.45,340.0,80592
2019-07-22,342.5,343.7,335.9,342.75,281585
2019-07-23,345.2,348.25,337.25,343.7,150400
2019-07-24,342.0,344.15,336.0,338.75,122153
2019-07-25,334.0,343.25,334.0,338.95,157271
2019-07-26,338.95,338.95,328.15,334.8,193136
2019-07-29,334.8,336.3,328.3,334.9,141190
2019-07-30,335.95,348.2,335.7,345.6,689684
2019-07-31,342.5,353.4,333.0,337.8,395034
2019-08-01,335.7,338.5,321.6,323.95,2259193
2019-08-02,327.2,351.15,327.2,343.45,3217236
2019-08-05,340.6,361.35,339.2,357.05,1521657
2019-08-06,356.75,375.15,354.65,368.4,1867730
2019-08-07,369.7,372.9,362.5,365.75,452409
2019-08-08,366.0,378.75,366.0,372.2,710174
2019-08-09,374.9,374.9,364.4,371.25,1291403
2019-08-13,359.8,363.7,346.45,351.65,456380
2019-08-14,353.1,363.85,347.5,361.25,238113
2019-08-16,365.0,365.0,355.1,361.3,167987
2019-08-19,362.05,366.05,359.95,361.1,127086
2019-08-20,360.8,362.35,357.5,358.15,98317
2019-08-21,359.2,360.0,353.3,354.65,127312
2019-08-22,352.85,357.05,351.2,352.65,87379
2019-08-23,353.9,358.55,351.15,356.7,108182
2019-08-26,358.8,362.3,347.0,360.7,139844
2019-08-27,362.2,368.0,344.0,347.8,4646748
2019-08-28,351.5,351.5,335.95,345.85,1557269
2019-08-29,343.7,349.7,341.25,343.5,128764
2019-08-30,345.4,349.3,338.95,347.05,117497
2019-09-03,347.05,347.05,335.4,336.65,619691
2019-09-04,337.0,347.25,335.6,345.95,197695
2019-09-05,349.95,349.95,340.95,347.65,109157
2019-09-06,349.5,354.1,345.4,349.2,195705
2019-09-09,354.0,357.5,349.3,356.15,153498
2019-09-11,359.0,361.55,350.6,355.25,130131
2019-09-12,357.4,357.4,346.7,347.45,151860
2019-09-13,350.0,350.0,340.85,342.75,194545
2019-09-16,341.15,345.3,338.7,343.9,118480
2019-09-17,345.6,349.4,332.65,339.85,230135
2019-09-18,342.25,344.25,334.6,335.75,175909
2019-09-19,337.0,342.3,334.9,337.7,205621
2019-09-20,339.35,364.65,335.1,355.9,503236
2019-09-23,355.45,362.25,343.5,347.8,346540
2019-09-24,347.85,352.05,345.8,348.6,113555
2019-09-25,349.3,350.05,338.4,341.55,162950
2019-09-26,343.5,346.8,340.6,343.95,91541
2019-09-27,344.0,354.8,339.3,348.8,112138
2019-09-30,350.0,374.6,344.2,367.25,483436
2019-10-01,368.25,369.8,347.15,350.9,331426
2019-10-03,351.0,355.55,341.5,344.9,146114
2019-10-04,351.95,351.95,334.5,339.7,117301
2019-10-07,343.95,346.5,337.4,341.5,116076
2019-10-09,342.9,360.7,339.1,359.25,297076
2019-10-10,361.55,384.85,361.55,377.4,1923715
2019-10-11,376.4,385.5,372.55,382.65,384210
2019-10-14,383.25,396.55,380.5,393.5,347239
2019-10-15,391.95,391.95,381.65,383.55,206095
2019-10-16,382.55,386.6,377.5,385.2,192375
2019-10-17,384.9,387.1,379.3,385.75,159498
2019-10-18,385.0,386.15,380.5,383.25,102981
2019-10-22,383.25,396.4,367.4,374.2,401039
2019-10-23,375.0,377.8,355.2,360.5,534290
2019-10-24,355.05,376.25,325.6,372.45,3393771
